Rank,Prioridade,Finalidade,Status,Gerências,GPM,NOTA,ORDEM,DESCRICAO,Critério,OM - Status Sistema,OM - Status Usuário,Prazo demanda
1700,2,"Ordem, Limpeza e Arrumação",Programável,HDT,COM,13487322,2025805702,L-2316002-Repar.Bas.Concr.Cx,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2022-10-24
1701,2,Demanda Não-crítica,Programável,REFINO,CAL,14132127,2027005209,D-504-K (O-503)-Suportar tubulação ar,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2022-11-08
1702,2,Demanda Não-crítica,Programável,REFINO,COM,13393328,2025452853,U-1200-Reparos de Alvenaria,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD NOLQ,SIMP TRIA EQEC PMAU ANEX AEGE MPOP MPMI 1ESC,2022-11-19
1703,2,Demanda Não-crítica,Parada,Oficinas,TQS,14222468,2027015271,OFICINA MA Manutenção de Válvulas,Demanda Não-crítica,LIB  CNPA CAPC DMNV ERRD IMPA JBFI KKMP*,SIMP TRIA AEGE AEGO ANEX MPMI PMAU 1ESC,2022-12-22
1704,2,"Ordem, Limpeza e Arrumação",Programável,HDT,COM,14020945,2027002927,URE 2/UTGR-Desmont. andaime/Transp MDEA,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2022-12-28
1705,2,"Ordem, Limpeza e Arrumação",Programável,REFINO,CAL,14302682,2027165948,O-630-Remover tubulação desativada,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-12-30
1706,2,Demanda Não-crítica,Programável,REFINO,CAL,14324247,2027201016,J-593A-Subst. coletor condensado,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,SIMP OPER TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-12-30
1707,2,Demanda Não-crítica,Programável,REFINO,CAL,14324203,2027201210,J-585B-Subst. coletor condensado,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2022-12-30
1708,2,Demanda Não-crítica,Programável,REFINO,CAL,14324375,2027201252,J-578B-Subst. coletor condensado,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-12-30
1709,2,Demanda Não-crítica,Programável,REFINO,CAL,14324332,2027201348,J-601B-Subst. coletor condensado,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-12-30
1710,2,Demanda Não-crítica,Programável,SOP,SOP,14391417,2027329462,OP/TEU Manutenção Corretiva Ar Condicion,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC APRE,2022-12-30
1711,2,Demanda Não-crítica,Impedido,UTILIDADES,ELE,13907484,2026399352,URFCC 18° andar- Avaliar painel 220/110V,Demanda Não-crítica,LIB  CNPA CAPC IMPA KKMP NOLQ,IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-12-31
1712,2,Demanda Não-crítica,Programável,REFINO,COM,13748872,2026117263,U-700-Reparo isol./Pintura/Alvenar(Pacot,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2023-02-24
1713,2,"Ordem, Limpeza e Arrumação",Programável,TRANSFERÊNCIA,CAL,14509075,2027577809,U-800(P-801F)-Repar.Guard.Corp.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2023-02-24
1714,2,"Ordem, Limpeza e Arrumação",Programável,TRANSFERÊNCIA,COM,14147534,2026868955,U-800(J-846AB)-Pint.Estrut./Subst.Telh.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2023-02-28
1715,2,Demanda Não-crítica,Falta material,SOP,ELE,13806979,2026214567,VIBRAPAR - Organização e limpeza,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MATF MOME NOLQ,SIMP TRIA ANEX EQEC MPMI PMAU 1ESC,2023-04-30
1716,2,Demanda Não-crítica,Programável,UTILIDADES,ELE,14501926,2027609153,CCL-6 Tamponar parede sala de baterias,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2023-05-08
1717,2,Demanda Não-crítica,Falta material,Oficinas,INS,12887285,2024120972,OFICINA MA/VIBRAPAR Recuperação de equip,Demanda Não-crítica,LIB  CNPA CAPC DMNV ERRD IMPA MATF MOME*,SIMP TRIA AEGE AEGO ANEX PMAU,2023-06-30
1718,2,Demanda Não-crítica,Programável,UTILIDADES,ELE,14701552,2027964853,BA-7421-CB AJUSTE DE TENSÃO DE FLUTUAÇÃO,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2023-06-30
1719,2,Demanda Não-crítica,Programável,REFINO,CAL,14874556,2028260217,FV-12020(Tub)-Subst. válvula de dreno,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2023-08-25
1720,2,Demanda Não-crítica,Falta material,UTILIDADES,SOP,13910768,2026595026,SE-201-VE-SE-20102 - REVISAR VENTILADOR,Demanda Não-crítica,LIB  CNPA CAPC DMNV ERRD IMPA KKMP NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC,2023-09-01
1721,2,Demanda Não-crítica,Falta material,SMS,COM,14838253,2028183121,SMS(SIMULADO)-Fabr.Suport./Pint.Cilind.,Demanda Não-crítica,LIB  CNPA CAPC IMPA MOME MatC NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI PMAU 1ESC,2023-09-04
1722,2,Demanda Não-crítica,Programável,REFINO,CAL,14550390,2027896167,O-2313100-Instalar suporte linha,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2023-09-20
1723,2,Outro Crítico,Falta material,TRANSFERÊNCIA,CAL,14845126,2028206600,D-250(P-836)-Desobs.Sprink./Subst.Asper.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC,2023-10-08
1724,2,Demanda Não-crítica,Programável,REFINO,ELE,14735546,2028006217,M-610 Remover cabos e eletroduto desativ,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2023-11-30
1725,2,Demanda Não-crítica,Programável,Oficinas,ELE,14851293,2028198916,OFICINA CALD-Subst. painel de tomadas,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2023-11-30
1726,2,Outro Crítico,Programável,REFINO,CAL,13895010,2027049237,D-500(M-593)-Substit.Vál.Bloq.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2023-12-05
1727,2,"Ordem, Limpeza e Arrumação",Programável,UTILIDADES,CAL,14425139,2027523938,U-300(ETA2)-Limp.Área/Rep.Grad./Dren.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2023-12-28
1728,2,Demanda Não-crítica,Falta material,Oficinas,ELE,14278891,2027141591,Oficina - Substituir painéis Elétricos,Demanda Não-crítica,LIB  CNPA CAPC IMPA MATF MOME NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI IMED,2023-12-29
1729,2,Demanda Não-crítica,Falta material,REFINO,ELE,14489318,2027526536,N-606 Substituir luminárias por LED,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2024-01-31
1730,2,Demanda Não-crítica,Falta material,REFINO,ELE,14489378,2027526647,N-752 Substituir luminárias por LED,Demanda Não-crítica,LIB  CNPA CAPC DMNV ERRD IMPA MATF MOME*,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2024-01-31
1731,2,Demanda Não-crítica,Falta material,REFINO,ELE,14489352,2027542050,N-703 Substituir luminárias por LED,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV ERRD MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2024-01-31
1732,2,Demanda Não-crítica,Programável,SOP,SOP,15120526,2028715531,Manutenção Preventiva em Ar-Condicionado,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA MPMI 1ESC,2024-01-31
1733,2,Demanda Não-crítica,Impedido,UTILIDADES,CAL,14847483,2028212409,U-300(K-318/K-301)-Revitalização,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP MOME NOLQ,IMPD TRIA ANEX EQEC MPMI 1ESC,2024-02-02
1734,2,Demanda Não-crítica,Programável,SOP,SOP,15146469,2028761414,Manutenção Lona Portaria 3,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-02-02
1735,2,Demanda Não-crítica,Programável,TRANSFERÊNCIA,CAL,14359220,2027526798,U-860(J-860;O-831)-Inst.Suport.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2024-02-29
1736,2,Demanda Não-crítica,Programável,SOP,SOP,15159653,2028785284,Manutenção Telhado Guarita CT,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2024-02-29
1737,2,Gestão de Mudanças,Programável,SOP,ELE,15020541,2028521853,S-901 Instalar NO-BREAK/Retificador,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2024-03-29
1738,2,Demanda Não-crítica,Programável,HDT,CAL,14981735,2028547523,M-2313011B(Tub)-Substituir fig. 8,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-04-30
1739,2,"Ordem, Limpeza e Arrumação",Programável,TRANSFERÊNCIA,COM,15170624,2028809507,U-800(CETANO)-Inst.Suport.Mangot./Chav.V,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-04-30
1740,2,Demanda Não-crítica,Programável,SOP,SOP,15296247,2029053401,Manutenção Corretiva Ar. Cond. SE-220,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA MPMI MPOP,2024-04-30
1741,2,"Ordem, Limpeza e Arrumação",Falta material,TRANSFERÊNCIA,COM,15259424,2028984567,U-800(P-801E)-Limp.Diqu./Cx.,Demanda Não-crítica,TENC LIB  CNPA CAPC DMNV IMPA JBFI MATF*,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-05-01
1742,2,Demanda Não-crítica,Programável,TRANSFERÊNCIA,CAL,15221069,2029163438,P-801K-Pintura do nivel dos amostradores,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2024-05-30
1743,2,Gestão de Mudanças,Programável,UTILIDADES,ELE,15123578,2028727929,O-0300058A - Higienização elétrica e ins,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-05-31
1744,2,Demanda Não-crítica,Falta material,Oficinas,CAL,14458568,2027458130,MA/EE (CAL) - Manutenção oficina,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA MATF MOME NOLQ,SIMP TRIA ANEX EQEC MPMI PMAU 1ESC,2024-06-24
1745,2,Demanda Não-crítica,Programável,SOP,SOP,15406059,2029252374,Manutenção Corretiva Ar Cond SE-631,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA MPMI MPOP,2024-07-10
1746,2,Demanda Não-crítica,Parada,REFINO,PAR,13881397,2026372601,P-576 INSPECIONAR/CALIBRAR ACUMULADOR,Demanda Não-crítica,LIB  CNPA CAPC DMNV ERRD IMPA KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2024-07-20
1747,2,Demanda Não-crítica,Programável,SMS,COM,15429482,2029454809,D-900RACE-Montar acesso válv.bloq.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC,2024-07-22
1748,2,Demanda Não-crítica,Falta material,REFINO,CAL,15131392,2028734267,O-590 - Subst. válvula fundo,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA MATF NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2024-07-31
1749,2,"Ordem, Limpeza e Arrumação",Programável,REFINO,CAL,15472885,2029384075,O-579-Instalar suporte para chave válv.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-08-07
1750,2,Demanda Não-crítica,Programável,UTILIDADES,ELE,15205148,2028877553,CCL-6/PN-6204 - Desativar gaveta elétric,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-08-27
1751,2,Demanda Não-crítica,Programável,UTILIDADES,CAL,15260727,2029000331,SE-201(V-201-01)-Corrig.Pint.Ident.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-09-27
1752,2,Demanda Não-crítica,Programável,REFINO,ELE,15407123,2029336612,CJ A J-643A Pintura de base metálica e d,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-09-27
1753,2,Demanda Não-crítica,Programável,SOP,SOP,15619009,2029641083,CCL-01 Diagnóstico inversor IHM VENT 2,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA NOLQ,SIMP TRIA ANEX 1ESC APRE,2024-09-30
1754,2,Outro Crítico,Programável,UTILIDADES,ELE,15522654,2029466807,UPS-3012 - Avaliar alarmes intermitentes,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP MOME NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2024-10-31
1755,2,"Ordem, Limpeza e Arrumação",Programável,REFINO,COM,14738058,2028159087,U-640 - Limpeza esgoto oleoso,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2024-12-03
1756,2,Demanda Não-crítica,Falta material,TRANSFERÊNCIA,CAL,15518608,2029466459,P-801E-Fabric./Inst.Grad.Dren.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2024-12-06
1757,2,Demanda Não-crítica,Falta material,UTILIDADES,INS,14202379,2026833327,J-425AT Manômetros/Termômetros manutençã,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI MPOP,2024-12-10
1758,2,"Ordem, Limpeza e Arrumação",Falta material,TRANSFERÊNCIA,CAL,15680396,2029760006,ECR-Avenida01-Remover baias desativadas,Demanda Não-crítica,LIB  CNPA CAPC IMPA MATF MOME NOLQ,IMPD TRIA ANEX EQEC MPMI PMAU 1ESC APRE,2024-12-27
1759,2,Demanda Não-crítica,Impedido,REFINO,MEC,15479685,2029388505,J-601A REVISAR BOMBA RESERVA,Demanda Não-crítica,LIB  CNPA CAPC DMNV MOME NOLQ,IMPD TRIA ANEX EQEC MPMI 1ESC,2024-12-31
1760,2,Demanda Não-crítica,Programável,REFINO,MEC,15592160,2029595255,VIBRAÇAO U-600 COLETA VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1761,2,Demanda Não-crítica,Programável,REFINO,MEC,15591500,2029595611,VIBRAÇAO U-570 COLETA VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1762,2,Demanda Não-crítica,Programável,REFINO,MEC,15591595,2029597048,VIBRAÇAO U-500 COLETA VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1763,2,Demanda Não-crítica,Programável,HDT,MEC,15604856,2029619120,VIBRAÇÃO HDS COLETA DE VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1764,2,Demanda Não-crítica,Programável,HDT,MEC,15604837,2029619122,VIBRAÇÃO UGH COLETA DE VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1765,2,Demanda Não-crítica,Programável,HDT,MEC,15604880,2029619412,VIBRAÇÃO HDT COLETA DE VIBRAÇÃO,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC MPMI MPOP PMAU 1ESC,2024-12-31
1766,2,Demanda Não-crítica,Programável,UTILIDADES,COM,15702367,2029838171,Avenida 9-Pintar linha água potável,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-01-05
1767,2,Demanda Não-crítica,Programável,UTILIDADES,ELE,15625279,2029666654,QDF-8007 Revisar o painel (PREVENTIVA),Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-01-06
1768,2,Outro Crítico,Programável,TRANSFERÊNCIA,COM,15714428,2029877917,D-800(P-801I)-Aplic.Torofit.,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-01-07
1769,2,Demanda Não-crítica,Impedido,UTILIDADES,ELE,15471740,2029491048,J-425A - Subst. lâmpadas piloto da botoe,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP ABCO 1ESC,2025-02-01
1770,2,"Ordem, Limpeza e Arrumação",Programável,TRANSFERÊNCIA,COM,15738910,2029909140,P-801G-Retirada de material abandonado,Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI 1ESC APRE,2025-02-01
1771,2,Gestão de Mudanças,Programável,TRANSFERÊNCIA,ELE,15565156,2029588252,P-801D-T-819A(GM)Remover cabos elétricos,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA JBFI KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-03-29
1772,2,Outro Crítico,Programável,HDT,ELE,15831526,2030061977,HDT-M-2313006 Fixar luminária pendurada,Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-03-29
1773,2,Demanda Não-crítica,Impedido,UTILIDADES,ELE,15624515,2029661423,BA-1012 Realizar teste de descarga,Demanda Não-crítica,LIB  CNPA CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-04-01
1774,2,,Programável,,ELE,,2023495715,SE-280 PARADA Organização de Materiais,Demanda Não-crítica,TENC LIB  CNPA CAPC DMNV JBFI MOME NOLQ,SIMP TRIA AEGE AEGO EQEC MPMI PMAU,
1775,2,00000000,Falta material,HDT,CAL,13243390,2025698758,O-6521003-Subst.Filtr.(ZR),Demanda Não-crítica,LIB  CNPA CAPC DMNV IMPA NOLQ,FMAT IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC,
1776,2,00000000,Programável,REFINO,COM,14189019,2027178367,N-606-Pint.Plataf./Vig.(ZR),Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC,
1777,2,00000000,Programável,REFINO,COM,14051866,2027178373,D-500(L-506)-Repar.Isol.Térmic.(ZR),Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,
1778,2,00000000,Programável,HDT,COM,14496055,2027666473,D-2225-1P(L-2225503)-Repar.Pint.(ZR),Demanda Não-crítica,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,
1779,2,00000000,Parada,TRANSFERÊNCIA,TQS,14785072,2029617046,P-807A - Manutenção Geral,Demanda Não-crítica,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,
1780,2,00000000,Parada,,PAR,8594512,2014406348,PSV-57852 - Instalar tomada de pressão,Demanda Não-crítica,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP ABCO EXCO,2016-05-02
1781,2,00000000,Parada,REFINO,PAR,10802844,2018010435,M-532C/D Substituir caixa (PPRO),Demanda Não-crítica,LIB  CAPC KKMP NOLQ,SIMP,2018-11-24
1782,2,Produção / Confiabilidade,Microplanejamento,HDT,COM,11906069,2022156682,B-4501A/B(Tub)-Aplicar pintura isolante,Demanda Não-crítica,LIB  IMPR CAPC ERRD KKMP NOLQ,IMPD MPMI,2020-09-25
1783,2,Demanda Não-crítica,Parada,HDT,PAR,12477702,2023182527,V-2316001 ADEQUAR TUBULAÇÃO DE SELAGEM,Demanda Não-crítica,LIB  IMPR CAPC DMNV ERRD KKMP NOLQ,SIMP MPMI,2021-02-23
1784,2,Demanda Não-crítica,Parada,HDT,PAR,12477594,2023182541,V-2313002 ADEQUAR TUBULAÇÃO DE SELAGEM,Demanda Não-crítica,LIB  IMPR CAPC DMNV ERRD KKMP NOLQ,SIMP MPMI PMAU,2021-02-23
1785,2,Produção / Confiabilidade,Programável,TRANSFERÊNCIA,COM,12712091,2024357483,P-0800001(LODO)-Refazer Impermeabil.,Demanda Não-crítica,LIB  CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2021-04-04
1786,2,Produção / Confiabilidade,Programável,REFINO,CAL,13028836,2025276860,SIST.LCO(N-503)-AmaciarBloq.Geral LCO,Demanda Não-crítica,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2021-04-12
1787,2,Demanda Não-crítica,Falta material,UTILIDADES,CAL,12778521,2024132155,J-5126005A-Instalar Filtro,Demanda Não-crítica,LIB  IMPR CAPC DMNV KKMP NOLQ,FMAT IMPD TRIA EQEC ANEX MPOP MPMI FMTC 1ESC,2021-05-02
1788,2,Produção / Confiabilidade,Parada,HDT,PAR,12802549,,"D-22254I bloq 1"" vents O-2225008",Demanda Não-crítica,,,2021-05-13
1789,2,Demanda Não-crítica,Programável,HDT,CAL,12893931,2024402894,D-23114E(V-2311002M)-Reparar Vavl.,Demanda Não-crítica,LIB  CAPC DMNV IMPA NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2021-06-17
1790,2,Demanda Não-crítica,Impedido,HDT,CAL,12956319,2024415862,D-23131B(FV-2313001)-Subst.Válv.Amostrad,Demanda Não-crítica,LIB  IMPR CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2021-07-10
1791,2,Demanda Não-crítica,Parada,,PAR,8159175,2017557081,U-2313-Adequar inst. SHELTER REV.40 PCTE,Demanda Não-crítica,LIB  IMPR CAPC MatC NOLQ,IMPD TRIA AEGE AEGO EQEC MPMI PMAU,2021-07-31
1792,2,Outro Crítico,Parada,UTILIDADES,PAR,12232277,2022725948,J-301FM Revisar Motor Elétrico REV.40,Demanda Não-crítica,LIB  IMPR CAPC ERRD KKMP NOLQ,IMPD TRIA AEGE AEGO EQEC MPMI,2021-07-31
1793,2,Produção / Confiabilidade,Impedido,UTILIDADES,ELE,12480225,2023207189,V-5132002BM Revisar motor(Parada U-5132),Demanda Não-crítica,LIB  CAPC KKMP MOME NOLQ,IMPD TRIA EQEC ANEX AEGE AEGO MPOP MPMI 1ESC,2021-07-31
1794,2,Produção / Confiabilidade,Parada,UTILIDADES,PAR,13128400,2025246076,L-402-Linha de WR obstruida (M-423),Demanda Não-crítica,ABER CAPC KKMP,SIMP MPMI PPRO,2021-10-01
1795,2,Demanda Não-crítica,Falta material,SMS,CAL,12975992,2025698376,SMS(O-2313003)-Inst.Placa.Identific.,Demanda Não-crítica,LIB  CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX EQEC FMAT MPMI,2021-10-31
1796,2,Produção / Confiabilidade,Parada,REFINO,PAR,13115537,,V-571 Efetuar lavagem da turbina,Demanda Não-crítica,,,2021-11-24
1797,2,Produção / Confiabilidade,Parada,HDT,PAR,13141219,,L-2311001 L-2311001 - Janela reparo re,Demanda Não-crítica,,,2021-12-04
1798,2,Demanda Não-crítica,Microplanejamento,HDT,CAL,13341318,2025340929,D-23131M(J-2313006AB)-Adequar Tubulação,Demanda Não-crítica,LIB  IMPR CAPC KKMP NOLQ,IMPD ANEX MPMI MPOP OPER PMAU 1ESC APRE,2022-01-01
1799,2,Demanda Não-crítica,Programável,REFINO,CAL,13077904,2025185327,VS-572-Suportar Linha de Vapor da Gaxeta,Demanda Não-crítica,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2022-01-06
1800,2,Produção / Confiabilidade,Falta material,REFINO,CAL,13258887,2025698238,O-502-Repar.Sist.Prov.Med.PH,Demanda Não-crítica,LIB  CAPC DMNV IMPA MATF NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2022-01-25
1801,2,Demanda Não-crítica,Parada,REFINO,PAR,13648225,2025921145,N-503(PT-50327)-Subst. válvula bloqueio,Demanda Não-crítica,LIB  CAPC KKMP NOLQ,SIMP MPMI,2022-01-28
